"","sample","similiraty"
"H367","H101","0.6363"
"H367","H100","0.6507"
"H367","H10","0.7121"
"H367","H1","0.7306"
"H366","H368","0.4449"
"H366","H367","0.4568"
"H366","H366","1"
"H366","H365","0.4551"
"H366","H364","0.4848"
"H366","H363","0.4516"
"H366","H362","0.4452"
"H366","H361","0.445"
"H366","H99","0.4667"
"H366","H98","0.4471"
"H366","H97","0.4648"
"H366","H96","0.4231"
"H366","H95","0.4252"
"H366","H94","0.4262"
"H366","H93","0.4279"
"H366","H92","0.4248"
"H366","H91","0.4513"
"H366","H90","0.4515"
"H366","H9","0.4541"
"H366","H89","0.4522"
"H366","H88","0.4561"
"H366","H87","0.4583"
"H366","H86","0.4624"
"H366","H85","0.4644"
"H366","H84","0.4655"
"H366","H83","0.4694"
"H366","H82","0.4703"
"H366","H81","0.4705"
"H366","H8","0.4505"
"H366","H79","0.4675"
"H366","H78","0.4615"
"H366","H77","0.4552"
"H366","H76","0.4558"
"H366","H75","0.4483"
"H366","H74","0.4711"
"H366","H73","0.469"
"H366","H72","0.4583"
"H366","H71","0.4617"
"H366","H70","0.4615"
"H366","H7","0.4505"
"H366","H69","0.4605"
"H366","H68","0.4608"
"H366","H67","0.4585"
"H366","H66","0.4667"
"H366","H65","0.4769"
"H366","H64","0.4819"
"H366","H63","0.4596"
"H366","H62","0.4483"
"H366","H61","0.4438"
"H366","H60","0.4704"
"H366","H6","0.4539"
"H366","H59","0.4628"
"H366","H58","0.4535"
"H366","H57","0.4387"
"H366","H56","0.4513"
"H366","H55","0.4568"
"H366","H54","0.4563"
"H366","H53","0.4346"
"H366","H52","0.4713"
"H366","H51","0.463"
"H366","H50","0.4622"
"H366","H5","0.4541"
"H366","H49","0.4726"
"H366","H48","0.4689"
"H366","H47","0.4337"
"H366","H46","0.4429"
"H366","H45","0.4631"
"H366","H44","0.465"
"H366","H43","0.457"
"H366","H42","0.4581"
"H366","H41","0.4562"
"H366","H40","0.4503"
"H366","H4","0.4523"
"H366","H39","0.4706"
"H366","H38","0.4569"
"H366","H37","0.4514"
"H366","H36","0.4532"
"H366","H35","0.4696"
"H366","H34","0.4508"
"H366","H335","0.4605"
"H366","H334","0.4911"
"H366","H333","0.5945"
"H366","H332","0.4838"
"H366","H331","0.4517"
"H366","H330","0.4361"
"H366","H33","0.4629"
"H366","H329","0.4445"
"H366","H328","0.4903"
"H366","H327","0.5507"
"H366","H326","0.475"
"H366","H325","0.4689"
"H366","H324","0.4811"
"H366","H323","0.4815"
"H366","H322","0.4117"
"H366","H321","0.4562"
"H366","H320","0.4846"
"H366","H32","0.4555"
"H366","H319","0.4764"
"H366","H318","0.4626"
"H366","H317","0.4611"
"H366","H316","0.5168"
"H366","H315","0.4597"
"H366","H314","0.4568"
"H366","H313","0.4854"
"H366","H312","0.4875"
"H366","H311","0.4633"
"H366","H310","0.4579"
"H366","H309","0.4623"
"H366","H308","0.4582"
"H366","H307","0.4589"
"H366","H306","0.4599"
"H366","H305","0.4622"
"H366","H304","0.4562"
"H366","H303","0.4549"
"H366","H302","0.4668"
"H366","H301","0.4592"
"H366","H300","0.4948"
"H366","H30","0.4456"
"H366","H3","0.452"
"H366","H298","0.4623"
"H366","H297","0.4472"
"H366","H296","0.4579"
"H366","H294","0.4518"
"H366","H293","0.487"
"H366","H292","0.4931"
"H366","H291","0.4929"
"H366","H290","0.493"
"H366","H29","0.4475"
"H366","H289","0.5121"
"H366","H288","0.5227"
"H366","H287","0.5173"
"H366","H286","0.4543"
"H366","H285","0.7177"
"H366","H284","0.473"
"H366","H283","0.4414"
"H366","H282","0.4413"
"H366","H281","0.4626"
"H366","H280","0.4042"
"H366","H28","0.4508"
"H366","H279","0.4479"
"H366","H278","0.5442"
"H366","H277","0.4512"
"H366","H276","0.4543"
"H366","H275","0.4664"
"H366","H274","0.4667"
"H366","H273","0.4588"
"H366","H272","0.4659"
"H366","H271","0.4606"
"H366","H270","0.4597"
"H366","H27","0.4479"
"H366","H269","0.4607"
"H366","H268","0.4826"
"H366","H267","0.4588"
"H366","H266","0.4586"
"H366","H265","0.4582"
"H366","H264","0.465"
"H366","H262","0.4534"
"H366","H26","0.454"
"H366","H259","0.4339"
"H366","H258","0.4497"
"H366","H257","0.4552"
"H366","H256","0.4412"
"H366","H255","0.453"
"H366","H254","0.4528"
"H366","H253","0.4609"
"H366","H252","0.4521"
"H366","H251","0.4487"
"H366","H250","0.4592"
"H366","H25","0.4591"
"H366","H249","0.4491"
"H366","H248","0.4656"
"H366","H247","0.4429"
"H366","H246","0.4472"
"H366","H245","0.4723"
"H366","H244","0.4911"
"H366","H243","0.4702"
"H366","H242","0.4638"
"H366","H241","0.4454"
"H366","H240","0.4451"
"H366","H24","0.4679"
"H366","H239","0.4651"
"H366","H238","0.7113"
"H366","H237","0.4851"
"H366","H236","0.4676"
"H366","H235","0.4661"
"H366","H234","0.4711"
"H366","H233","0.4791"
"H366","H232","0.4726"
"H366","H231","0.4609"
"H366","H230","0.4579"
"H366","H23","0.4578"
"H366","H229","0.46"
"H366","H228","0.4688"
"H366","H227","0.5514"
"H366","H226","0.4815"
"H366","H225","0.4674"
"H366","H224","0.4633"
"H366","H223","0.4609"
"H366","H222","0.4615"
"H366","H221","0.4606"
"H366","H220","0.4472"
"H366","H219","0.4754"
"H366","H218","0.4945"
"H366","H217","0.4702"
"H366","H216","0.4661"
"H366","H215","0.4659"
"H366","H214","0.4558"
"H366","H213","0.4615"
"H366","H212","0.4682"
"H366","H211","0.449"
"H366","H210","0.4643"
"H366","H21","0.4406"
"H366","H209","0.4654"
"H366","H208","0.4404"
"H366","H207","0.4507"
"H366","H206","0.4608"
"H366","H205","0.4708"
"H366","H204","0.4722"
"H366","H203","0.4709"
"H366","H202","0.4605"
"H366","H201","0.4665"
"H366","H200","0.4921"
"H366","H20","0.4467"
"H366","H2","0.4538"
"H366","H199","0.4527"
"H366","H198","0.4401"
"H366","H197","0.451"
"H366","H196","0.4542"
"H366","H195","0.4539"
"H366","H194","0.4429"
"H366","H193","0.4392"
"H366","H192","0.4335"
"H366","H191","0.4531"
"H366","H190","0.4533"
"H366","H19","0.4338"
"H366","H189","0.4569"
"H366","H188","0.4121"
"H366","H187","0.4244"
"H366","H186","0.4499"
"H366","H185","0.4519"
"H366","H184","0.4593"
"H366","H183","0.4835"
"H366","H182","0.4782"
"H366","H181","0.4843"
"H366","H180","0.5021"
"H366","H18","0.453"
"H366","H179","0.4449"
"H366","H178","0.4616"
"H366","H177","0.4754"
"H366","H176","0.4757"
"H366","H175","0.475"
"H366","H174","0.4592"
"H366","H173","0.4588"
"H366","H172","0.455"
"H366","H171","0.4265"
"H366","H170","0.4544"
"H366","H17","0.4648"
"H366","H169","0.4618"
